Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Type_H,Type_L,Type_M,Power,Temp_diff,Tool_wear_squared
298.8,308.6,1268.0,55.8,155,0,0,0,0,0,0,False,True,False,70754.4,9.800000000000011,24025
298.8,308.6,1511.0,36.1,157,0,0,0,0,0,0,False,True,False,54547.1,9.800000000000011,24649
298.7,308.5,1544.0,35.2,159,0,0,0,0,0,0,False,True,False,54348.8,9.800000000000011,25281
298.6,308.4,1778.0,28.2,161,0,0,0,0,0,0,False,False,True,50139.6,9.799999999999955,25921
298.6,308.4,1407.0,50.5,164,0,0,0,0,0,0,True,False,False,71053.5,9.799999999999955,26896
298.6,308.4,1391.0,42.4,169,0,0,0,0,0,0,False,False,True,58978.4,9.799999999999955,28561
298.5,308.4,1513.0,33.6,172,0,0,0,0,0,0,False,True,False,50836.8,9.899999999999977,29584
298.5,308.4,1612.0,36.1,174,0,0,0,0,0,0,True,False,False,58193.200000000004,9.899999999999977,30276
298.4,308.4,1515.0,40.1,179,0,0,0,0,0,0,False,True,False,60751.5,10.0,32041
298.3,308.3,1379.0,48.0,181,0,0,0,0,0,0,False,False,True,66192.0,10.0,32761
298.4,308.3,1473.0,39.9,184,0,0,0,0,0,0,False,True,False,58772.7,9.900000000000034,33856
298.4,308.3,1422.0,42.7,186,0,0,0,0,0,0,False,True,False,60719.4,9.900000000000034,34596
298.4,308.2,1463.0,37.6,188,0,0,0,0,0,0,False,False,True,55008.8,9.800000000000011,35344
298.4,308.2,1584.0,41.0,191,0,0,0,0,0,0,False,False,True,64944.0,9.800000000000011,36481
298.4,308.2,1850.0,27.0,194,0,0,0,0,0,0,False,True,False,49950.0,9.800000000000011,37636
298.4,308.2,1528.0,36.2,196,0,0,0,0,0,0,False,True,False,55313.600000000006,9.800000000000011,38416
298.4,308.2,1895.5,19.8,198,0,0,0,0,0,0,True,False,False,37530.9,9.800000000000011,39204
298.4,308.1,1495.0,46.0,203,0,0,0,0,0,0,False,False,True,68770.0,9.700000000000045,41209
298.4,308.2,1478.0,43.5,206,0,0,0,0,0,0,True,False,False,64293.0,9.800000000000011,42436
298.4,308.2,1499.0,40.0,211,0,0,0,0,0,0,False,False,True,59960.0,9.800000000000011,44521
298.4,308.2,1471.0,47.0,214,0,0,0,0,0,0,False,True,False,69137.0,9.800000000000011,45796
298.4,308.2,1282.0,60.7,216,1,0,0,0,1,0,False,True,False,77817.40000000001,9.800000000000011,46656
298.3,308.1,1412.0,52.3,218,1,0,0,0,1,0,False,True,False,73847.59999999999,9.800000000000011,47524
298.3,308.1,1586.0,35.5,0,0,0,0,0,0,0,False,True,False,56303.0,9.800000000000011,0
298.4,308.2,1468.0,43.8,2,0,0,0,0,0,0,False,False,True,64298.399999999994,9.800000000000011,4
298.5,308.3,1440.0,43.6,5,0,0,0,0,0,0,False,False,True,62784.0,9.800000000000011,25
298.5,308.4,1733.0,26.0,8,0,0,0,0,0,0,False,True,False,45058.0,9.899999999999977,64
298.4,308.2,1612.0,32.6,10,0,0,0,0,0,0,True,False,False,52551.200000000004,9.800000000000011,100
298.4,308.3,1458.0,42.9,15,0,0,0,0,0,0,True,False,False,62548.2,9.900000000000034,225
298.4,308.3,1433.0,62.3,20,1,0,0,1,0,0,False,True,False,89275.9,9.900000000000034,400
298.4,308.3,1318.0,59.1,22,0,0,0,0,0,0,False,True,False,77893.8,9.900000000000034,484
298.4,308.2,1610.0,35.0,24,0,0,0,0,0,0,False,False,True,56350.0,9.800000000000011,576
298.2,308.1,1462.0,50.8,27,0,0,0,0,0,0,False,True,False,74269.59999999999,9.900000000000034,729
298.1,308.0,1895.5,20.8,29,0,0,0,0,0,0,False,False,True,39426.4,9.899999999999977,841
298.2,308.0,1591.0,33.7,32,0,0,0,0,0,0,False,False,True,53616.700000000004,9.800000000000011,1024
298.2,308.1,1306.0,58.3,35,0,0,0,0,0,0,False,True,False,76139.8,9.900000000000034,1225
298.2,308.1,1382.0,43.5,37,0,0,0,0,0,0,False,True,False,60117.0,9.900000000000034,1369
298.2,308.1,1618.0,34.7,39,0,0,0,0,0,0,False,True,False,56144.600000000006,9.900000000000034,1521
298.2,308.2,1895.5,21.4,41,0,0,0,0,0,0,False,True,False,40563.7,10.0,1681
298.2,308.2,1436.0,50.2,43,0,0,0,0,0,0,False,True,False,72087.2,10.0,1849
298.2,308.3,1304.0,49.8,45,0,0,0,0,0,0,False,True,False,64939.2,10.100000000000023,2025
298.2,308.3,1475.0,49.9,47,0,0,0,0,0,0,False,True,False,73602.5,10.100000000000023,2209
298.2,308.3,1824.0,24.2,49,0,0,0,0,0,0,True,False,False,44140.799999999996,10.100000000000023,2401
298.1,308.2,1342.0,48.1,54,0,0,0,0,0,0,False,False,True,64550.200000000004,10.099999999999966,2916
298.1,308.2,1485.0,40.7,57,0,0,0,0,0,0,False,True,False,60439.50000000001,10.099999999999966,3249
298.2,308.2,1667.0,30.6,59,0,0,0,0,0,0,False,True,False,51010.200000000004,10.0,3481
298.2,308.2,1446.0,38.2,61,0,0,0,0,0,0,False,True,False,55237.200000000004,10.0,3721
298.1,308.3,1301.0,56.0,63,0,0,0,0,0,0,False,True,False,72856.0,10.199999999999989,3969
298.2,308.4,1379.0,43.1,65,0,0,0,0,0,0,False,True,False,59434.9,10.199999999999989,4225
298.3,308.5,1606.0,33.6,67,0,0,0,0,0,0,False,True,False,53961.600000000006,10.199999999999989,4489
298.3,308.4,1539.0,43.4,69,0,0,0,0,0,0,False,False,True,66792.59999999999,10.099999999999966,4761
298.2,308.4,1477.0,49.9,72,0,0,0,0,0,0,False,True,False,73702.3,10.199999999999989,5184
298.2,308.4,1666.0,34.6,74,0,0,0,0,0,0,False,True,False,57643.600000000006,10.199999999999989,5476
298.2,308.4,1398.0,51.8,76,0,0,0,0,0,0,True,False,False,72416.4,10.199999999999989,5776
298.2,308.4,1678.0,34.6,81,0,0,0,0,0,0,True,False,False,58058.8,10.199999999999989,6561
298.2,308.5,1895.5,12.800000000000011,86,1,0,0,1,0,0,False,False,True,24262.400000000023,10.300000000000011,7396
298.3,308.5,1453.0,42.9,89,0,0,0,0,0,0,False,True,False,62333.7,10.199999999999989,7921
298.3,308.6,1432.0,49.5,91,0,0,0,0,0,0,True,False,False,70884.0,10.300000000000011,8281
298.4,308.6,1527.0,40.9,96,0,0,0,0,0,0,False,False,True,62454.299999999996,10.200000000000045,9216
298.4,308.7,1588.0,35.0,99,0,0,0,0,0,0,False,True,False,55580.0,10.300000000000011,9801
298.4,308.6,1433.0,47.1,101,0,0,0,0,0,0,False,True,False,67494.3,10.200000000000045,10201
298.4,308.6,1609.0,35.0,103,0,0,0,0,0,0,False,True,False,56315.0,10.200000000000045,10609
298.3,308.5,1575.0,41.2,105,0,0,0,0,0,0,False,True,False,64890.00000000001,10.199999999999989,11025
298.4,308.5,1636.0,35.7,107,0,0,0,0,0,0,False,False,True,58405.200000000004,10.100000000000023,11449
298.4,308.5,1490.0,37.9,110,0,0,0,0,0,0,False,True,False,56471.0,10.100000000000023,12100
298.4,308.5,1741.0,32.8,112,0,0,0,0,0,0,False,True,False,57104.799999999996,10.100000000000023,12544
298.5,308.6,1344.0,53.0,114,0,0,0,0,0,0,False,False,True,71232.0,10.100000000000023,12996
298.5,308.7,1609.0,35.3,117,0,0,0,0,0,0,False,True,False,56797.7,10.199999999999989,13689
298.4,308.7,1421.0,60.7,119,1,0,0,1,0,0,False,False,True,86254.7,10.300000000000011,14161
298.4,308.6,1591.0,36.7,122,0,0,0,0,0,0,False,True,False,58389.700000000004,10.200000000000045,14884
298.4,308.6,1477.0,44.0,124,0,0,0,0,0,0,False,True,False,64988.0,10.200000000000045,15376
298.4,308.7,1523.0,36.1,126,0,0,0,0,0,0,False,True,False,54980.3,10.300000000000011,15876
298.5,308.7,1575.0,33.9,128,0,0,0,0,0,0,False,True,False,53392.5,10.199999999999989,16384
298.4,308.7,1344.0,52.9,130,0,0,0,0,0,0,True,False,False,71097.59999999999,10.300000000000011,16900
298.4,308.7,1386.0,44.9,135,0,0,0,0,0,0,False,True,False,62231.4,10.300000000000011,18225
298.3,308.6,1589.0,37.1,137,0,0,0,0,0,0,False,False,True,58951.9,10.300000000000011,18769
298.3,308.6,1548.0,40.3,140,0,0,0,0,0,0,False,True,False,62384.399999999994,10.300000000000011,19600
298.3,308.6,1499.0,38.3,142,0,0,0,0,0,0,False,True,False,57411.7,10.300000000000011,20164
298.3,308.5,1664.0,31.6,144,0,0,0,0,0,0,False,True,False,52582.4,10.199999999999989,20736
298.3,308.6,1447.0,38.1,146,0,0,0,0,0,0,False,True,False,55130.700000000004,10.300000000000011,21316
298.3,308.5,1434.0,46.2,148,0,0,0,0,0,0,False,False,True,66250.8,10.199999999999989,21904
298.3,308.5,1416.0,52.7,151,0,0,0,0,0,0,False,True,False,74623.2,10.199999999999989,22801
298.4,308.5,1827.0,24.3,153,0,0,0,0,0,0,True,False,False,44396.1,10.100000000000023,23409
298.4,308.6,1304.0,45.0,158,0,0,0,0,0,0,False,True,False,58680.0,10.200000000000045,24964
298.4,308.6,1569.0,34.4,160,0,0,0,0,0,0,False,True,False,53973.6,10.200000000000045,25600
298.3,308.6,1584.0,29.3,162,0,0,0,0,0,0,False,True,False,46411.200000000004,10.300000000000011,26244
298.3,308.5,1362.0,53.8,164,0,0,0,0,0,0,False,True,False,73275.59999999999,10.199999999999989,26896
298.3,308.4,1329.0,49.2,166,0,0,0,0,0,0,False,True,False,65386.8,10.099999999999966,27556
298.3,308.5,1539.0,36.1,168,0,0,0,0,0,0,False,True,False,55557.9,10.199999999999989,28224
298.3,308.5,1629.0,37.1,170,0,0,0,0,0,0,False,False,True,60435.9,10.199999999999989,28900
298.3,308.5,1538.0,32.2,173,0,0,0,0,0,0,False,True,False,49523.600000000006,10.199999999999989,29929
298.3,308.6,1570.0,34.8,175,0,0,0,0,0,0,False,True,False,54635.99999999999,10.300000000000011,30625
298.3,308.4,1408.0,43.1,177,0,0,0,0,0,0,False,True,False,60684.8,10.099999999999966,31329
298.2,308.4,1424.0,47.6,179,0,0,0,0,0,0,False,True,False,67782.40000000001,10.199999999999989,32041
298.2,308.4,1512.0,34.9,181,0,0,0,0,0,0,False,True,False,52768.799999999996,10.199999999999989,32761
298.2,308.4,1478.0,42.9,183,0,0,0,0,0,0,False,True,False,63406.2,10.199999999999989,33489
298.1,308.3,1680.0,33.7,185,0,0,0,0,0,0,False,False,True,56616.00000000001,10.199999999999989,34225
298.1,308.3,1495.0,38.7,188,0,0,0,0,0,0,False,True,False,57856.50000000001,10.199999999999989,35344
298.0,308.1,1552.0,36.6,190,0,0,0,0,0,0,False,False,True,56803.200000000004,10.100000000000023,36100
297.9,308.1,1393.0,50.3,193,0,0,0,0,0,0,False,True,False,70067.9,10.200000000000045,37249
298.0,308.2,1611.0,30.6,195,0,0,0,0,0,0,False,True,False,49296.600000000006,10.199999999999989,38025
298.0,308.1,1339.0,51.6,197,0,0,0,0,0,0,False,False,True,69092.40000000001,10.100000000000023,38809
298.0,308.1,1777.0,24.3,200,0,0,0,0,0,0,False,True,False,43181.1,10.100000000000023,40000
298.0,308.2,1348.0,58.8,202,1,0,0,0,1,0,False,True,False,79262.4,10.199999999999989,40804
298.0,308.2,1442.0,44.1,204,0,0,0,0,0,0,False,True,False,63592.200000000004,10.199999999999989,41616
298.0,308.2,1395.0,49.1,206,0,0,0,0,0,0,False,False,True,68494.5,10.199999999999989,42436
297.9,308.1,1627.0,31.4,209,0,0,0,0,0,0,False,False,True,51087.799999999996,10.200000000000045,43681
297.9,308.1,1585.0,33.5,212,0,0,0,0,0,0,False,True,False,53097.5,10.200000000000045,44944
298.0,308.2,1469.0,45.5,214,0,0,0,0,0,0,False,True,False,66839.5,10.199999999999989,45796
298.0,308.3,1362.0,56.8,216,1,0,0,0,1,0,False,True,False,77361.59999999999,10.300000000000011,46656
298.0,308.3,1405.0,56.2,218,1,0,0,0,1,0,False,True,False,78961.0,10.300000000000011,47524
298.0,308.3,1662.0,32.7,0,0,0,0,0,0,0,False,True,False,54347.4,10.300000000000011,0
298.0,308.2,1466.0,42.6,2,0,0,0,0,0,0,False,False,True,62451.6,10.199999999999989,4
298.0,308.2,1620.0,35.8,5,0,0,0,0,0,0,False,True,False,57995.99999999999,10.199999999999989,25
298.0,308.2,1357.0,48.2,7,0,0,0,0,0,0,False,True,False,65407.4,10.199999999999989,49
298.0,308.2,1514.0,37.9,9,0,0,0,0,0,0,False,True,False,57380.6,10.199999999999989,81
298.0,308.2,1489.0,40.4,11,0,0,0,0,0,0,False,True,False,60155.6,10.199999999999989,121
298.1,308.3,1331.0,63.0,13,0,0,0,0,0,0,False,True,False,83853.0,10.199999999999989,169
298.0,308.0,1615.0,29.5,15,0,0,0,0,0,0,False,True,False,47642.5,10.0,225
298.1,308.2,1482.0,37.9,17,0,0,0,0,0,0,False,True,False,56167.799999999996,10.099999999999966,289
